7.812499853032692752e-03 7.812500279798491667e-03 7.812350082550026734e-03 7.812350082567939488e-03 6.686717854768583909e-18 1.273966279961955695e-20 1.281536489683403687e-20 2.436224928051321290e-17 1.455721960673305505e-20
7.812499853032699691e-03 7.812500279798476055e-03 7.812350082258740641e-03 7.812350082365753998e-03 1.490247763194331891e-17 1.077391542540353658e-17 9.648851966739274479e-18 2.698813529540607934e-17 3.969790221977746295e-20
7.812499853032702293e-03 7.812500279798481259e-03 7.812350082258744978e-03 7.812350082365754865e-03 1.338629013537693114e-17 1.040157544868407331e-17 8.023705175726225935e-18 2.818645043139415115e-17 2.152965149171645697e-19
7.812499853032704028e-03 7.812500279798481259e-03 7.812350082258739774e-03 7.812350082365751396e-03 1.050061327306201373e-17 1.018748243646475980e-17 1.255526088916916614e-17 2.884255147975228781e-17 9.256801281552135578e-19
7.812499853032684079e-03 7.812500279798443095e-03 7.812350082258605333e-03 7.812350082365557974e-03 1.110234188146072923e-16 5.476475696791553340e-17 9.458349117056311261e-17 7.886970031758802209e-17 3.443302604107927034e-17
7.812499853032585199e-03 7.812500279797884514e-03 7.812350082257480365e-03 7.812350082363527480e-03 1.221025990081458542e-15 5.277097822561900040e-16 8.042486056611601589e-16 6.609800012573974879e-16 3.388298157432289595e-16
7.812499853032228714e-03 7.812500279794808850e-03 7.812350082251317759e-03 7.812350082352021927e-03 7.688773607708341558e-15 3.222952618985768202e-15 4.719067260205915655e-15 4.031146146161859528e-15 1.884039370417977416e-15
7.812499853031174869e-03 7.812500279782960688e-03 7.812350082226447029e-03 7.812350082305783740e-03 3.459153926335484060e-14 1.423009475135000606e-14 2.065106717651520955e-14 1.758670007424376872e-14 7.474971242608616118e-15
7.812499853028622224e-03 7.812500279747522022e-03 7.812350082146477144e-03 7.812350082159213484e-03 1.228145204190944378e-13 4.981559865801570222e-14 7.232334033967236660e-14 6.002620078048621925e-14 2.330673017550618989e-14
7.812499853023407645e-03 7.812500279660945443e-03 7.812350081934199032e-03 7.812350081777151914e-03 3.610941462883710220e-13 1.446487842594735793e-13 2.106461858849508682e-13 1.682485411779086762e-13 5.969979759489234567e-14
7.812499853014897092e-03 7.812500279486930127e-03 7.812350081463906824e-03 7.812350080947388573e-03 8.986578228190934686e-13 3.554742578353971945e-13 5.197792228478134614e-13 3.957470702999447474e-13 1.276867248607976924e-13
